gene,mean_expr,frac_cells_expressing,nonzero_cells
IGKC,5.484713680271375,0.5063890800987144,168464
TMSB4X,2.2020747898242647,0.6708789606735662,223186
MT-CO3,1.7672708481434851,0.5320746549956865,177009
IGLC2,1.5851625183920837,0.312378072424604,103921
IGHG1,1.3377834801312234,0.272384324735404,90616
TMSB10,1.1019242531851103,0.4254126374832044,141525
S100A6,1.0529187379456049,0.36561589770257635,121632
IGLC3,1.0371320659887187,0.26054701707662387,86678
MT-CO1,1.0003574341837276,0.4105784289265564,136590
CEACAM6,0.9816372900897896,0.32931642403893263,109556
MT-CYB,0.9127526408040569,0.3825662729915203,127271
MT-CO2,0.8814223270869415,0.37344631579580195,124237
MT-ND4,0.8176854049797398,0.36167513834740606,120321
MT-ATP6,0.8004796530397684,0.35619234272282124,118497
COL3A1,0.7630849105844233,0.2656270196015955,88368
FTH1,0.7071306014724154,0.34216973220270713,113832
COL1A1,0.6555924383466808,0.2597624723079744,86417
ACTB,0.653361927411722,0.3225951899289701,107320
IGHA1,0.6370124214820084,0.17061293687270235,56759
MT-ND4L,0.5412598758369238,0.2757780068955774,91745
ELF3,0.5337407503247957,0.21281904069112081,70800
SLC34A2,0.5286705521368235,0.23673713541964128,78757
CD74,0.5073409542410408,0.25836772605259756,85953
SAT1,0.47853133403540526,0.24017290044096826,79900
IGHG3,0.4577636495760749,0.1006291387742465,33477
IGHG2,0.44342363336900376,0.11342834040225204,37735
MT-ND2,0.4073929016860512,0.21973565951358223,73101
MT-ND3,0.4067958527948566,0.22474652590951583,74768
VIM,0.403916549600428,0.22279568470318056,74119
COL1A2,0.381336594913571,0.17053478298770278,56733
RNASE1,0.36942049940432503,0.1811516876730282,60265
A2M,0.32615609874100815,0.17088948138885465,56851
LY6E,0.32279885474813336,0.17097965894846953,56881
APOE,0.3215414037015665,0.16153205661948378,53738
IGHM,0.311247033872313,0.1026761693775043,34158
ZFP36,0.30907642561176873,0.17494145973421668,58199
NFKBIA,0.30283095542746213,0.15784980626854275,52513
CLDN4,0.2981982089337699,0.15548715420663287,51727
FOS,0.28943843386880125,0.16220237647928773,53961
GLUL,0.2808833908638775,0.1646341646702357,54770
CAPN2,0.2794126964939884,0.15787084769911958,52520
CD55,0.27629231939402926,0.1513179450337715,50340
CEACAM5,0.2703196728588597,0.13387459908559954,44537
SPARC,0.26866711842559593,0.14291640239631834,47545
SFTPB,0.26173298711375237,0.10242066629192881,34073
CTSB,0.25719906235236767,0.15308241928356936,50927
SELENOW,0.24737469873902268,0.14618684189168474,48633
SFTPA2,0.2409036781181387,0.10282947122884961,34209
MT-ND6,0.2367451093214797,0.14662570601514383,48779
TIMP1,0.23626775096960237,0.13327942719214134,44339
