gene,mean_expr,frac_cells_expressing,nonzero_cells
IGKC,4.21495980382973,0.4329085974515847,197631
TMSB4X,1.700913178987379,0.5494272965637794,250824
MT-CO3,1.338910051884724,0.4222912956525358,192784
IGLC2,1.2284738398151602,0.25853907504397405,118028
IGHG1,1.0274258911236327,0.22204771323866038,101369
TMSB10,0.834735590005563,0.3322862794319623,151695
IGLC3,0.803652492732697,0.21386404508903245,97633
S100A6,0.7931139147881445,0.2840977045862275,129696
MT-CO1,0.7592042850889249,0.32111697432089353,146596
CEACAM6,0.7370657713576467,0.2545896227758319,116225
MT-CYB,0.6925832501896233,0.298666649142752,136347
MT-CO2,0.66738983331786,0.29045231414245626,132597
MT-ND4,0.6200296670993961,0.2815238796194682,128521
MT-ATP6,0.6069864655714823,0.27706185284730755,126484
COL3A1,0.5864063837656699,0.21133183941960795,96477
FTH1,0.5451722284289869,0.27015743046839236,123332
COL1A1,0.5000503311420997,0.20289845548597102,92627
ACTB,0.49852772352717767,0.2512841743717129,114716
IGHA1,0.4936850171770774,0.13957140885702457,63717
MT-ND4L,0.41143902350030326,0.21361651979435686,97520
ELF3,0.40020435875798294,0.1629329775978656,74382
SLC34A2,0.3986429687685732,0.18222461715722676,83189
CD74,0.39819837803870156,0.20856744188084175,95215
SAT1,0.3646690471350898,0.18655083359071584,85164
IGHG3,0.3517234119191782,0.08111382001625343,37030
IGHG2,0.340102528662754,0.09104768914327771,41565
VIM,0.31589635031534036,0.17787649583040355,81204
MT-ND3,0.30978099214781507,0.17401028215693104,79439
MT-ND2,0.30901020036182897,0.16939930211009838,77334
COL1A2,0.2936270634105648,0.13439090158350475,61352
RNASE1,0.2791243846023094,0.13908292973567365,63494
A2M,0.2581179271819886,0.13894492890766869,63431
APOE,0.2530183493168185,0.13046335420869667,59559
LY6E,0.24316550188707228,0.1305027830166981,59577
IGHM,0.24305106296306195,0.08371612134434711,38218
ZFP36,0.2399500977788816,0.13867987969832582,63310
NFKBIA,0.22964045795299629,0.12166853953504674,55544
CLDN4,0.22381229601180935,0.11804108919891615,53888
FOS,0.22328461893221532,0.12739885963125303,58160
GLUL,0.2147655220364974,0.12746895528992222,58192
CAPN2,0.21090463256420247,0.12041777012566837,54973
CD55,0.2088467976571515,0.1158768857375049,52900
SPARC,0.20706725188426162,0.11209391065870204,51173
SFTPB,0.20514059135956084,0.08441707793103902,38538
CEACAM5,0.20262403633368659,0.10147441837031974,46325
CTSB,0.19773231315178222,0.11913414337628883,54387
SFTPA2,0.18946004519403797,0.08423745780569922,38456
SELENOW,0.1874213684539982,0.11199971961736532,51130
TIMP1,0.18174690654160405,0.10372405091573407,47352
MT-ND6,0.1797563414078436,0.11255829439738543,51385
